geo,variable,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AT,demo_r_d3dens,99.1,99.8,100.3,100.6,100.9,101.2,101.5,101.8,102.3,102.9,103.7,104.9,106.0,106.8,107.1,107.6,107.6,108.1,109.6,110.7,111.3,,
AT,diesel_price_ht,,473.7995918367347,506.0428571428571,501.15938775510205,651.2814285714286,425.49300000000005,533.8012244897959,671.0385714285715,738.2373469387754,710.3842857142857,674.7216326530612,525.2924489795919,448.89300000000003,511.46,609.4932,595.1728571428572,467.6646,625.8902040816326,1092.688039215686,881.7301960784313,812.9043396226415,737.6472371794872,891.9449999999999
AT,env_air_gge,24574.38,24929.64,23663.76,23887.81,22418.25,21761.3,22569.07,21918.57,21734.68,22913.76,22228.33,22705.2,23536.71,24267.02,24387.33,24438.88,21121.83,21915.63,20765.15,19841.6,,,
AT,gdp_per_capita,33528.78191,34787.456837,37391.103461,39193.789618,41046.495054,40695.706319,41747.191275,44187.866099,46176.644612,47534.19572,48368.953154,49625.117401,52379.02475,53884.923911,56654.552532,60370.464416,58522.842298,62998.849713,72198.693654,74269.587905,75775.015047,77398.30052,
AT,nrg_ind_ren,22.553,24.353,26.276,28.144,28.788,31.039,31.205,31.552,32.734,32.665,33.55,33.497,33.37,33.136,33.784,33.755,36.545,34.643,34.057,41.6,42.951,,
AT,road_eqs_carhab,501.0,504.0,508.0,511.0,514.0,522.0,530.0,537.0,542.0,546.0,547.0,546.0,550.0,555.0,562.0,566.0,570.0,572.0,566.0,566.0,569.0,,
AT,road_eqs_carmot,2022000.0,2128000.0,2221000.0,2283000.0,2323000.0,2382000.0,2446000.0,2506000.0,2570000.0,2621588.0,2663654.0,2703999.0,2750383.0,2771925.0,2778795.0,2779026.0,2776651.0,2745471.0,2692682.0,2640528.0,2582446.0,,
BE,demo_r_d3dens,343.6,345.5,347.8,350.4,353.1,356.0,359.5,364.3,366.3,368.0,369.6,371.8,373.7,373.6,375.3,377.3,377.3,378.9,383.6,386.8,389.1,,
BE,diesel_price_ht,,469.6118367346939,514.5771428571428,518.8291836734694,680.1404081632653,434.7718,562.8218367346939,712.1555102040817,782.7516326530613,731.6344897959183,688.2518367346938,526.6067346938776,434.1922,506.3288,595.5068,587.4165306122449,466.81339999999994,636.7214285714285,1104.6739215686275,888.400576923077,822.7684905660378,770.5780093134139,885.1436432113342
BE,env_air_gge,27565.61,26762.38,27360.3,28210.22,28304.2,27528.81,26750.57,26342.48,25511.96,25025.96,25274.5,26951.17,26672.57,26117.72,26300.5,26074.78,21790.43,24027.62,24310.73,24670.84,,,
BE,gdp_per_capita,32059.811471,33177.947339,35251.307931,36798.208635,37883.233422,37905.636814,39839.926324,41244.706461,42483.621887,43864.147826,45147.489111,46071.876832,48414.638613,50255.854035,52466.553021,56712.355972,56119.616238,60668.644835,68833.732098,72690.78942,74319.393227,75572.824007,
BE,nrg_ind_ren,1.916,2.325,2.658,3.14,3.611,4.746,6.004,6.302,7.086,7.671,8.038,8.06,8.744,9.136,9.472,9.929,13.0,13.017,13.831,14.673,14.336,,
BE,road_eqs_carhab,467.0,468.0,470.0,473.0,477.0,479.0,480.0,488.0,489.0,492.0,497.0,501.0,505.0,509.0,511.0,510.0,510.0,510.0,507.0,512.0,513.0,,
BE,road_eqs_carmot,2301000.0,2417000.0,2571000.0,2731000.0,2903000.0,3039000.0,3181000.0,3341000.0,3401000.0,3445309.0,3467763.0,3467249.0,3399720.0,3299815.0,3124893.0,2931542.0,2768630.0,2589340.0,2398632.0,2167055.0,1923183.0,,
CZ,demo_r_d3dens,132.0,132.2,132.5,133.3,134.4,135.2,135.6,135.9,136.1,136.1,136.3,136.6,136.8,137.2,137.7,138.2,138.2,138.6,138.2,140.7,141.2,,
CZ,diesel_price_ht,,451.0063265306123,509.4461224489796,508.01959183673466,683.4416326530612,454.98720000000003,573.9689795918367,714.3667346938776,774.8436734693877,728.7279591836734,695.2028571428572,547.511224489796,432.1718,509.4748,591.5664,593.101836734694,461.8036,621.7418367346938,1088.6180392156862,862.8113461538462,803.0527567299947,732.1901650177552,852.9086136480263
CZ,env_air_gge,16079.06,17365.85,17657.89,18606.3,18468.44,17793.85,16788.2,16617.66,16330.41,16202.77,16717.72,17464.8,18132.16,18635.3,18825.22,18998.87,17705.9,18917.36,19394.76,19896.58,,,
CZ,gdp_per_capita,20967.923167,22065.403862,23849.56878,26206.889497,27817.062758,27587.624613,28039.179541,29235.560699,29476.5875,31048.122456,32810.686828,34217.975632,36627.605125,39620.866229,42016.459957,46139.564802,45675.064521,47818.435973,52516.841992,55990.244416,57676.46233,60884.507451,
CZ,nrg_ind_ren,6.773,7.113,7.362,7.895,8.674,9.977,10.513,10.945,12.814,13.927,15.074,15.07,14.926,14.799,15.139,16.239,17.303,17.614,18.123,18.555,19.211,,
CZ,road_eqs_carhab,374.0,387.0,401.0,414.0,424.0,424.0,429.0,436.0,448.0,450.0,459.0,485.0,502.0,522.0,540.0,554.0,576.0,579.0,582.0,597.0,608.0,,
CZ,road_eqs_carmot,646000.0,718000.0,805000.0,901000.0,1008000.0,1102000.0,1206000.0,1316000.0,1483000.0,1525690.0,1631014.0,1807953.0,1954086.0,2097056.0,2205495.0,2313009.0,2388353.0,2415250.0,2508001.0,2473580.0,2524164.0,,
DE,demo_r_d3dens,231.1,230.9,230.7,230.4,229.9,229.3,229.0,224.8,225.2,225.8,226.5,228.4,233.1,234.0,234.7,235.2,235.2,235.4,235.4,235.8,236.4,,
DE,diesel_price_ht,,447.60755102040815,487.3089795918367,502.61795918367346,645.8263265306122,426.8936,537.8273469387756,691.7508163265306,783.518775510204,731.1958,673.2289795918367,520.8028571428572,439.7342,509.6336,602.2724,583.861224489796,474.20279999999997,696.741224489796,1207.734705882353,908.2099999999999,801.6433962264151,741.7948480930834,988.790462184874
DE,env_air_gge,161164.76,157059.99,161970.62,153820.45,158814.01,153350.02,151639.28,153548.28,151894.01,156171.22,155063.66,162928.41,164863.97,166444.67,166727.6,165533.87,147163.43,145446.27,149036.26,146079.49,,,
