year,FR,DE,EL,HU,CY,RO,SI
2005,11.865847304816441,11.96438311325893,9.990615256092894,9.399921348638266,7.656039108770378,9.440241837065763,8.389707486735963
2006,11.861114293469019,11.995170239742475,10.021858859571413,9.461495898744023,7.649911647343135,9.476368684843129,8.441945801141395
2007,11.850121796514284,11.9435412921041,10.048925529618217,9.483773914537629,7.713011651569328,9.52156146505765,8.564120669481584
2008,11.80333341882924,11.975489048085008,10.017444611803427,9.482516343827667,7.752343758022555,9.630889147445286,8.72573951977864
2009,11.79930894461523,11.940478299962995,10.135831054228582,9.476053637658184,7.753138450378844,9.626975528825334,8.548505794655181
2010,11.8051401247108,11.929259821531423,10.01894121063124,9.369717370775023,7.77269797812852,9.562422987296971,8.575371529401126
2011,11.813871037031396,11.941770324243222,9.90816658875286,9.315068787901058,7.7424758038160455,9.571229224916147,8.639373655308141
2012,11.801371845264342,11.930938253968279,9.724579164249809,9.28501361290683,7.663539173390057,9.631077598668988,8.642663934115415
2013,11.798557236991831,11.958708248451122,9.711272011301517,9.215426416098367,7.557927106542064,9.61895119380146,8.588132434159796
2014,11.795201928407929,11.95159102126067,9.712925536225475,9.324801451596947,7.522200103196238,9.654851819060976,8.591107001864652
2015,11.806698350701884,12.001066180857263,9.745443302592859,9.411852440657324,7.555591236832079,9.661852838579906,8.585586149657884
2016,11.809560564202059,12.012875988615733,9.765048135239018,9.414369603056548,7.61565313148799,9.7286959741615,8.652945366277438
2017,11.80888124074816,12.02241822086235,9.751971399294108,9.477439562812537,7.646645127666126,9.794511620239893,8.675283529161447
2018,11.789492771627543,12.024116621920824,9.765328325126916,9.537758169170775,7.652265501497214,9.821601563729926,8.671598695915788
2019,11.783822757839168,12.01693110542875,9.787535027971577,9.596171998482228,7.664979936915309,9.847827368730018,8.634912225024534
2020,11.610354398629541,11.899299016911204,9.634008789938221,9.440522295732722,7.554675258175764,9.81781800216709,8.428386021136424
2021,11.73079706393247,11.887562019043129,9.723456171287054,9.542746496011736,7.568823384078336,9.881125883684383,8.55730389302766
2022,11.76473258297073,11.911944911026097,9.793035206596045,9.620063734171074,7.597581952756218,9.959797940236864,8.664440094926702
2023,11.723433847677768,11.891906204585023,9.772065362550443,9.54461877533259,7.678196778468331,10.004452622359668,8.587399992459135
