geo,year,demo_r_d3dens,diesel_price_ht,env_air_gge,gdp_per_capita,nrg_ind_ren,road_eqs_carhab,road_eqs_carmot
CY,2005,79.8,478.6918367346939,2113.37,,3.131,477.0,33000.0
CY,2006,81.2,534.219387755102,2100.46,,3.263,492.0,32000.0
CY,2007,82.9,541.6,2237.27,,4.001,529.0,36000.0
CY,2008,85.4,694.4989795918367,2327.02,,5.131,557.0,40000.0
CY,2009,87.7,468.0702,2328.87,,5.92,563.0,44000.0
CY,2010,90.0,572.5577551020408,2374.87,,6.161,551.0,46000.0
CY,2011,92.3,747.754693877551,2304.17,,6.245,545.0,48000.0
CY,2012,93.8,816.9444897959183,2129.28,,7.111,549.0,49000.0
CY,2013,93.5,781.9368,1915.87,,8.428,552.0,50478.0
CY,2014,92.5,735.3671428571428,1848.63,,9.144,556.0,54870.0
CY,2015,92.0,569.6812244897959,1911.4,,9.903,565.0,60592.0
CY,2016,92.4,484.9574,2029.72,,9.833,584.0,70264.0
CY,2017,93.3,549.354,2093.61,,10.478,599.0,83505.0
CY,2018,94.4,637.9274,2105.41,,13.873,619.0,99381.0
CY,2019,95.7,625.4310204081632,2132.35,,13.777,634.0,114291.0
CY,2020,95.7,525.7984,1909.65,,16.879,632.0,123622.0
CY,2021,96.8,667.0004081632653,1936.86,,19.069,637.0,129661.0
CY,2022,100.6,1110.2933333333333,1993.37,,19.427,633.0,129536.0
CY,2023,104.0,934.9365384615384,2160.72,,20.213,647.0,133556.0
DE,2005,230.9,447.60755102040815,157059.99,32763.616327,7.167,559.0,10091000.0
DE,2006,230.7,487.3089795918367,161970.62,35256.416836,8.466,566.0,10820000.0
DE,2007,230.4,502.6179591836735,153820.45,37494.809238,10.039,501.0,10046000.0
DE,2008,229.9,645.8263265306122,158814.01,39078.248689,10.072,504.0,10290000.0
DE,2009,229.3,426.8936,153350.02,38222.823256,10.851,510.0,10818000.0
DE,2010,229.0,537.8273469387756,151639.28,40452.445425,11.667,527.0,11267000.0
DE,2011,224.8,691.7508163265306,153548.28,43384.111667,12.47,534.0,11891000.0
DE,2012,225.2,783.518775510204,151894.01,44234.495586,13.549,539.0,12579000.0
DE,2013,225.8,731.1958,156171.22,45949.484517,13.757,543.0,13215000.0
DE,2014,226.5,673.2289795918367,155063.66,48060.809841,14.381,547.0,13861000.0
DE,2015,228.4,520.8028571428572,162928.41,48770.474333,14.901,548.0,14532000.0
DE,2016,233.1,439.7342,164863.97,51858.712082,14.885,555.0,15089392.0
DE,2017,234.0,509.6336,166444.67,54551.287282,15.472,561.0,15237472.0
DE,2018,234.7,602.2724,166727.6,56833.938216,16.66,567.0,15179677.0
DE,2019,235.2,583.861224489796,165533.87,59953.085922,17.266,574.0,15202076.0
DE,2020,235.2,474.2028,147163.43,59444.321161,19.09,580.0,15270342.0
DE,2021,235.4,696.741224489796,145446.27,63548.21742,19.302,583.0,15179992.0
DE,2022,235.4,1207.734705882353,149036.26,70217.397604,20.829,587.0,14915009.0
DE,2023,235.8,908.21,146079.49,72262.483672,21.512,588.0,14772094.0
EL,2005,84.0,,21820.72,25003.752867,7.277,391.0,
EL,2006,84.2,,22513.24,28076.03072,7.458,412.0,
EL,2007,84.5,,23130.92,28895.806984,8.249,434.0,
EL,2008,84.7,,22414.08,30440.895936,8.183,453.0,
EL,2009,84.9,,25231.06,29963.390193,8.731,462.0,
EL,2010,85.0,,22447.65,27838.636676,10.077,469.0,
EL,2011,84.1,,20093.8,25692.466663,11.153,469.0,
EL,2012,83.6,,16723.65,24582.984292,13.741,470.0,
EL,2013,83.0,,16502.58,25730.8709,15.326,469.0,
EL,2014,82.5,,16529.89,26450.27745,15.683,471.0,
EL,2015,82.7,,17076.24,26607.641686,15.69,474.0,
EL,2016,82.4,,17414.32,27504.550293,15.39,479.0,
EL,2017,82.2,,17188.08,28681.647785,17.3,487.0,
EL,2018,82.5,,17419.2,29792.027759,18.001,493.0,
