geo,variable,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AT,demo_r_d3dens,99.1,99.8,100.3,100.6,100.9,101.2,101.5,101.8,102.3,102.9,103.7,104.9,106.0,106.8,107.1,107.6,107.6,108.1,109.6,110.7,111.3,,
AT,diesel_price_ht,,473.7995918367347,506.0428571428571,501.15938775510205,651.2814285714286,425.49300000000005,533.8012244897959,671.0385714285715,738.2373469387754,710.3842857142857,674.7216326530612,525.2924489795919,448.89300000000003,511.46,609.4932,595.1728571428572,467.6646,625.8902040816326,1092.688039215686,881.7301960784313,812.9043396226415,737.6472371794872,891.9449999999999
AT,env_air_gge,24574.38,24929.64,23663.76,23887.81,22418.25,21761.3,22569.07,21918.57,21734.68,22913.76,22228.33,22705.2,23536.71,24267.02,24387.33,24438.88,21121.83,21915.63,20765.15,19841.6,,,
AT,nrg_ind_ren,22.553,24.353,26.276,28.144,28.788,31.039,31.205,31.552,32.734,32.665,33.55,33.497,33.37,33.136,33.784,33.755,36.545,34.643,34.057,41.6,42.951,,
AT,road_eqs_carhab,501.0,504.0,508.0,511.0,514.0,522.0,530.0,537.0,542.0,546.0,547.0,546.0,550.0,555.0,562.0,566.0,570.0,572.0,566.0,566.0,569.0,,
AT,road_eqs_carmot,2022000.0,2128000.0,2221000.0,2283000.0,2323000.0,2382000.0,2446000.0,2506000.0,2570000.0,2621588.0,2663654.0,2703999.0,2750383.0,2771925.0,2778795.0,2779026.0,2776651.0,2745471.0,2692682.0,2640528.0,2582446.0,,
AT,sdg_07_11_1,,100.0,100.3,98.7,98.8,95.7,100.7,97.5,97.7,99.8,95.8,98.6,101.1,102.5,101.0,102.0,94.8,100.5,96.3,93.7,92.7,,
AT,sdg_07_11_2,,26.3,26.4,26.0,26.0,25.2,26.5,25.6,25.7,26.2,25.2,25.9,26.6,26.9,26.5,26.8,24.9,26.4,25.3,24.6,24.4,,
AT,sdg_07_11_3,,3.2,3.19,3.13,3.12,3.02,3.16,3.05,3.05,3.09,2.95,3.0,3.04,3.06,3.0,3.02,2.8,2.95,2.8,2.7,2.66,,
AT,sdg_07_30_1,8.14,8.01,8.2,8.65,8.71,8.85,8.44,8.94,9.03,8.9,9.29,9.19,9.26,9.3,9.75,9.71,9.79,9.72,10.68,10.83,10.84,,
AT,sdg_07_30_2,6.76,6.81,7.08,7.52,7.71,7.85,7.58,8.16,8.52,8.52,8.99,9.13,9.3,9.35,9.98,10.02,10.32,10.53,12.33,13.23,13.73,,
AT,sdg_08_10_1,39620.0,40270.0,41370.0,42790.0,43270.0,41620.0,42280.0,43370.0,43450.0,43080.0,43070.0,43200.0,43550.0,44260.0,45140.0,45730.0,42650.0,44580.0,46430.0,45670.0,45140.0,,
AT,sdg_08_10_2,1.9,1.6,2.7,3.4,1.1,-3.8,1.6,2.6,0.2,-0.9,0.0,0.3,0.8,1.6,2.0,1.3,-6.7,4.5,4.2,-1.6,-1.2,,
BE,demo_r_d3dens,343.6,345.5,347.8,350.4,353.1,356.0,359.5,364.3,366.3,368.0,369.6,371.8,373.7,373.6,375.3,377.3,377.3,378.9,383.6,386.8,389.1,,
BE,diesel_price_ht,,469.6118367346939,514.5771428571428,518.8291836734694,680.1404081632653,434.7718,562.8218367346939,712.1555102040817,782.7516326530613,731.6344897959183,688.2518367346938,526.6067346938776,434.1922,506.3288,595.5068,587.4165306122449,466.81339999999994,636.7214285714285,1104.6739215686275,888.400576923077,822.7684905660378,770.5780093134139,885.1436432113342
BE,env_air_gge,27565.61,26762.38,27360.3,28210.22,28304.2,27528.81,26750.57,26342.48,25511.96,25025.96,25274.5,26951.17,26672.57,26117.72,26300.5,26074.78,21790.43,24027.62,24310.73,24670.84,,,
BE,nrg_ind_ren,1.916,2.325,2.658,3.14,3.611,4.746,6.004,6.302,7.086,7.671,8.038,8.06,8.744,9.136,9.472,9.929,13.0,13.017,13.831,14.673,14.336,,
BE,road_eqs_carhab,467.0,468.0,470.0,473.0,477.0,479.0,480.0,488.0,489.0,492.0,497.0,501.0,505.0,509.0,511.0,510.0,510.0,510.0,507.0,512.0,513.0,,
BE,road_eqs_carmot,2301000.0,2417000.0,2571000.0,2731000.0,2903000.0,3039000.0,3181000.0,3341000.0,3401000.0,3445309.0,3467763.0,3467249.0,3399720.0,3299815.0,3124893.0,2931542.0,2768630.0,2589340.0,2398632.0,2167055.0,1923183.0,,
BE,sdg_07_11_1,,100.0,98.8,95.7,99.8,96.8,104.0,96.2,97.0,99.7,92.9,97.7,98.3,97.4,98.2,96.2,91.1,97.9,90.6,89.1,91.3,,
BE,sdg_07_11_2,,35.4,34.9,33.8,35.3,34.2,36.8,34.0,34.3,35.3,32.8,34.5,34.8,34.4,34.7,34.0,32.2,34.6,32.0,31.5,32.3,,
BE,sdg_07_11_3,,3.37,3.31,3.18,3.3,3.17,3.37,3.08,3.09,3.16,2.93,3.06,3.07,3.03,3.04,2.96,2.79,2.99,2.74,2.67,2.72,,
BE,sdg_07_30_1,4.9,5.05,5.18,5.37,5.22,5.56,5.32,5.84,6.15,5.94,6.42,6.46,6.16,6.17,6.28,6.41,6.78,6.49,7.25,7.88,7.84,,
BE,sdg_07_30_2,4.05,4.26,4.42,4.62,4.56,4.86,4.81,5.35,5.77,5.64,6.15,6.28,6.04,6.14,6.35,6.59,7.15,6.99,8.31,9.57,9.73,,
BE,sdg_08_10_1,37440.0,38100.0,38810.0,39950.0,39810.0,38740.0,39420.0,39670.0,39510.0,39440.0,39960.0,40310.0,40590.0,41030.0,41610.0,42400.0,40190.0,42530.0,43890.0,44190.0,44410.0,,
BE,sdg_08_10_2,3.1,1.8,1.9,2.9,-0.3,-2.7,1.8,0.6,-0.4,-0.2,1.3,0.9,0.7,1.1,1.4,1.9,-5.2,5.8,3.2,0.7,0.5,,
BG,demo_r_d3dens,69.5,69.0,68.5,68.0,67.5,67.1,67.9,67.5,67.1,66.7,66.3,66.2,64.8,64.3,63.9,63.4,63.4,63.0,58.8,58.6,58.6,,
