geo,year,env_air_gge,road_eqs_carhab,sdg_07_11_2,sdg_07_11_3
BG,2005,7817.19,333.0,9.8,1.28
BG,2006,8277.58,233.0,10.1,1.33
BG,2007,8058.5,277.0,10.0,1.32
BG,2008,8552.71,317.0,9.8,1.31
BG,2009,8195.6,337.0,8.6,1.15
BG,2010,7984.36,353.0,8.8,1.19
BG,2011,8153.8,368.0,9.3,1.26
BG,2012,8507.51,385.0,9.2,1.26
BG,2013,7432.81,409.0,8.8,1.23
BG,2014,8417.92,429.0,9.0,1.27
BG,2015,9200.22,456.0,9.5,1.36
BG,2016,9301.87,459.0,9.7,1.4
BG,2017,9440.19,410.0,9.9,1.46
BG,2018,9653.24,416.0,9.9,1.48
BG,2019,9811.13,431.0,9.9,1.49
BG,2020,9226.88,439.0,9.5,1.45
BG,2021,9926.7,437.0,10.2,1.57
BG,2022,9942.48,449.0,9.9,1.53
BG,2023,10158.8,466.0,9.7,1.5
DE,2005,157059.99,559.0,214.5,2.6
DE,2006,161970.62,566.0,220.4,2.68
DE,2007,153820.45,501.0,207.4,2.52
DE,2008,158814.01,504.0,216.3,2.63
DE,2009,153350.02,510.0,204.3,2.49
DE,2010,151639.28,527.0,217.4,2.66
DE,2011,153548.28,534.0,206.4,2.57
DE,2012,151894.01,539.0,210.2,2.61
DE,2013,156171.22,543.0,215.6,2.67
DE,2014,155063.66,547.0,204.4,2.52
DE,2015,162928.41,548.0,207.1,2.54
DE,2016,164863.97,555.0,211.3,2.57
DE,2017,166444.67,561.0,213.0,2.58
DE,2018,166727.6,567.0,209.4,2.53
DE,2019,165533.87,574.0,209.3,2.52
DE,2020,147163.43,580.0,197.4,2.37
DE,2021,145446.27,583.0,202.0,2.43
DE,2022,149036.26,587.0,196.9,2.37
DE,2023,146079.49,588.0,186.9,2.24
EL,2005,21820.72,391.0,21.0,1.91
EL,2006,22513.24,412.0,21.6,1.96
EL,2007,23130.92,434.0,22.1,2.0
EL,2008,22414.08,453.0,21.4,1.94
