STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,TRANSACTION,Transaction,INSTR_ASSET,Instruments financiers et actifs non financiers,ACTIVITY,Activité économique,EXPENDITURE,Dépense,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,REF_YEAR_PRICE,Prix ​​année de référence,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,CRI,Costa Rica,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,2019,,23082.516179,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,CZE,Tchéquie,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,2019,,46139.564802,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,FRA,France,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1970,,3642.701518,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,KOR,Corée,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1970,,603.368488,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,CAN,Canada,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,2018,,49982.649045,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,CHL,Chili,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,2018,,25496.431051,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,FRA,France,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1971,,3992.158798,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,KOR,Corée,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1971,,687.787911,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,NZL,Nouvelle-Zélande,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1971,,4199.230391,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,0,Units,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,NOR,Norvège,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1971,,3709.702207,,,,F,Libre (libre pour publication),1,One,A,Valeur normale,0,Units,_Z,N'est pas applicable
