STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,TRANSACTION,Transaction,INSTR_ASSET,Instruments financiers et actifs non financiers,ACTIVITY,Activité économique,EXPENDITURE,Dépense,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,REF_YEAR_PRICE,Prix ​​année de référence,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,CZE,Tchéquie,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1997,,14911.838414,,,,F,Libre (libre pour publication),1,,A,Valeur normale,0,,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,BEL,Belgique,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,2009,,37905.636814,,,,F,Libre (libre pour publication),1,,B,Rupture de série,0,,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,CZE,Tchéquie,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,2021,,47818.435973,,,,F,Libre (libre pour publication),1,,A,Valeur normale,0,,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,DEU,Allemagne,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,2009,,38222.823256,,,,F,Libre (libre pour publication),1,,A,Valeur normale,0,,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,DEU,Allemagne,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1998,,25633.677084,,,,F,Libre (libre pour publication),1,,A,Valeur normale,0,,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,ITA,Italie,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1996,,23100.777628,,,,F,Libre (libre pour publication),1,,A,Valeur normale,0,,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,DEU,Allemagne,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1996,,24302.223784,,,,F,Libre (libre pour publication),1,,A,Valeur normale,0,,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,FRA,France,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1996,,21319.321501,,,,F,Libre (libre pour publication),1,,A,Valeur normale,0,,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,CZE,Tchéquie,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1996,,14780.667306,,,,F,Libre (libre pour publication),1,,A,Valeur normale,0,,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),"PIB et consommation, annuel, par tête, $ É-U, prix courants, PPA courantes",I,A,Annuelle,BEL,Belgique,S1,Economie totale,S1,Economie totale,B1GQ_POP,"Produit intérieur brut, par tête",_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",V,Prix courants,N,Données non transformées,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1996,,22745.30392,,,,F,Libre (libre pour publication),1,,A,Valeur normale,0,,_Z,N'est pas applicable
