STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2015,,140,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2016,,151,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2017,,145,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2018,,161,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2019,,176,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2020,,191,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2021,,212,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2022,,232,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2023,,292,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2024,,328,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2015,,546,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2016,,550,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2017,,555,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2018,,562,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2019,,566,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2020,,570,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2021,,572,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2022,,566,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2023,,566,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2024,,569,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2015,,235,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2016,,245,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2017,,252,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2018,,263,,p,provisional,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2019,,269,,ip,"value imputed by Eurostat or other receiving agencies, provisional",,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2020,,268,,ip,"value imputed by Eurostat or other receiving agencies, provisional",,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2021,,284,,p,provisional,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2022,,292,,p,provisional,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2023,,306,,p,provisional,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2024,,321,,p,provisional,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2015,,501,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2016,,505,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2017,,509,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2018,,511,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2019,,510,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2020,,510,,,,,
