STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,mot_nrg,Motor energy,engine,Engine capacity of vehicle,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_CARMOT$DEFAULTVIEW(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AL,Albania,2021,,233368,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT$DEFAULTVIEW(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AL,Albania,2022,,252775,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT$DEFAULTVIEW(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AL,Albania,2023,,277611,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT$DEFAULTVIEW(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AL,Albania,2024,,308635,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT$DEFAULTVIEW(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2015,,2114381,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT$DEFAULTVIEW(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2016,,2161479,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT$DEFAULTVIEW(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2017,,2189040,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT$DEFAULTVIEW(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2018,,2205012,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT$DEFAULTVIEW(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2019,,2218877,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT$DEFAULTVIEW(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2020,,2232277,,,,,
